Country;Region;Producer;Appellation;Designation;Type;Vintage;Quantity
Afrique du Sud;Afrique du Sud;Rupert & Rothschild;Western Cape;Baron Edmond;Rouge;2011;0
Espagne;Espagne;Bodegas Breca;Calatayud;Breca;Rouge;2012;1
Espagne;Espagne;La Rioja Alta;Rioja;Viña Ardanza Reserva;Rouge;2005;4
Espagne;Espagne;Dominio de Atauta;Ribera del Duero;Dominio de Atauta;Rouge;2011;2
Espagne;Espagne;La Rioja Alta;Rioja;Gran Reserva 904;Rouge;2004;2
Etats-Unis;Etats-Unis;Mission Bell Winery;California;Buffalo Cabernet-Sauvignon;Rouge;2012;1
France;Alsace;Domaine Marcel Deiss;Alsace;Huebuhl;Moelleux;2008;1
France;Alsace;Domaine Marcel Deiss;Alsace Grand Cru;Altenberg de Bergheim;Moelleux;2008;1
France;Alsace;Domaine Marcel Deiss;Alsace Grand Cru;Schoenenbourg;Moelleux;2009;1
France;Bourgogne;Domaine Boussey Laurent;Aloxe-Corton;Les Valozières;Rouge;2010;2
France;Savoie;Château de Mérande;Arbin;La Noire;Rouge;2010;1
France;Beaujolais;Domaine des Maisons Neuves;Brouilly;;Rouge;2014;3
France;Savoie;Les Fils de Charles Trosset;Arbin;Confidentiel;Rouge;2012;1
France;Provence;Domaine Tempier;Bandol;;Rouge;2012;2
France;Beaujolais;Jean-Marc Burgaud;Morgon;Côte du Py Javernières;Rouge;2011;4
France;Bordeaux;Château Cambon La Pelouse;Haut-Médoc;;Rouge;2010;3
France;Bordeaux;Château de Carles;Fronsac;Haut-Carles;Rouge;2012;6
France;Sud-Ouest;Domaine La Bérangeraie;Cahors;Les Quatre Chambrées;Rouge;2010;2
France;Sud-Ouest;Domaine La Bérangeraie;Cahors;La Gorgée de Mathis Bacchus;Rouge;2011;1
France;Bordeaux;Château Lynch Moussas;Pauillac;Grand Cru Classé;Rouge;2010;0
France;Rhône;Château Gigognan;Châteauneuf-du-Pape;Cardinalice;Rouge;2012;2
France;Bordeaux;Château Malartic-Lagravière;Pessac-Léognan;Grand Cru Classé;Rouge;2012;3
France;Rhône;Domaine de l'Arnesque;Châteauneuf-du-Pape;;Rouge;2011;0
France;Rhône;Domaine Les Cailloux - André Brunel;Châteauneuf-du-Pape;;Rouge;2011;2
France;Rhône;Domaine Pierre André;Châteauneuf-du-Pape;;Rouge;2012;1
France;Rhône;Le Clos du Caillou;Châteauneuf-du-Pape;Les Safres;Rouge;2012;2
France;Bordeaux;Clos Puy Arnaud;Castillon - Côtes de Bordeaux;Grand Vin;Rouge;2010;3
France;Beaujolais;Domaine des Maisons Neuves;Chiroubles;;Rouge;2014;1
France;Rhône;Domaine Vincent Paris;Cornas;La Geynale;Rouge;2011;2
France;Bourgogne;Domaine Rapet Père et Fils;Corton-Charlemagne Grand Cru;;Blanc;2010;1
